tow_date,tow_reason,storage_company,street,city,geo_location,longitude,latitude,location,block,hh_income,pop_total,pop_black,state,tract
2020-02-17,PKG,Henrys,7901 Cessna Ave,Gaithersburg,POINT (-77.160913 39.171825),-77.160913,39.171825,"(39.171825, -77.160913)",7001051,50977,1693,416,24,700105
2020-05-31,PKG,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-05-13,PRV,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-05-03,PRV,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-05-05,PKG,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-04-26,PKG,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-04-16,NOP,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-06-08,NOP,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-06-08,ABN,Diversified,7881 Cessna Ave,Gaithersburg,POINT (-77.160475 39.17154),-77.160475,39.17154,"(39.17154, -77.160475)",7001051,50977,1693,416,24,700105
2020-06-22,REPO,Greenwood,8321 Beechcraft Ave,Gaithersburg,POINT (-77.170454 39.168463),-77.170454,39.168463,"(39.168463, -77.170454)",7001051,50977,1693,416,24,700105
2020-06-04,PRV,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-06-09,ABN,Diversified,7823 Cessna Ave,Gaithersburg,POINT (-77.15934 39.170652),-77.15934,39.170652000000004,"(39.170652, -77.15934)",7001051,50977,1693,416,24,700105
2020-06-20,PRV,Diversified,7885 Cessna Ave,Gaithersburg,POINT (-77.160475 39.17154),-77.160475,39.17154,"(39.17154, -77.160475)",7001051,50977,1693,416,24,700105
2020-06-26,REPO,Other,8021 Snouffer School Rd,Gaithersburg,POINT (-77.162001 39.160279),-77.162001,39.160278999999996,"(39.160279, -77.162001)",7001051,50977,1693,416,24,700105
2020-06-02,REPO,Other,19602 Kildonan Dr,Gaithersburg,POINT (-77.152862 39.176333),-77.152862,39.176333,"(39.176333, -77.152862)",7001051,50977,1693,416,24,700105
2020-06-17,PRV,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-06-27,PRV,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-06-08,ABN,Diversified,7831 Cessna Ave,Gaithersburg,POINT (-77.159482 39.170796),-77.159482,39.170796,"(39.170796, -77.159482)",7001051,50977,1693,416,24,700105
2020-06-16,NOP,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-07-14,NOP,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
